1 - число Мерсенна
3 - число Мерсенна
7 - число Мерсенна
5 - не является числом Мерсенна
63 - число Мерсенна
127 - число Мерсенна
34346 - не является числом Мерсенна
36 - не является числом Мерсенна
34 - не является числом Мерсенна
63 - число Мерсенна
6 - не является числом Мерсенна
34 - не является числом Мерсенна
437 - не является числом Мерсенна
568 - не является числом Мерсенна
23454575 - не является числом Мерсенна
1243 - не является числом Мерсенна
53 - не является числом Мерсенна
456 - не является числом Мерсенна
5 - не является числом Мерсенна
567 - не является числом Мерсенна
6 - не является числом Мерсенна
8 - не является числом Мерсенна
768 - не является числом Мерсенна
6 - не является числом Мерсенна
Проверена группа из 3 файлов...
